19/09/20 21:19:40 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000739.JPEG.jpg , Iteration 0 , takes 0.00216143 s, throughput is 462.66 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000221.JPEG.jpg , Iteration 0 , takes 0.001967282 s, throughput is 508.32 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000883.JPEG.jpg , Iteration 0 , takes 0.001940783 s, throughput is 515.26 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000813.JPEG.jpg , Iteration 0 , takes 0.001906621 s, throughput is 524.49 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000137.JPEG.jpg , Iteration 0 , takes 0.00190108 s, throughput is 526.02 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000248.JPEG.jpg , Iteration 0 , takes 0.001952764 s, throughput is 512.09 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000419.JPEG.jpg , Iteration 0 , takes 0.001901197 s, throughput is 525.98 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000797.JPEG.jpg , Iteration 0 , takes 0.002023319 s, throughput is 494.24 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000570.JPEG.jpg , Iteration 0 , takes 0.001936425 s, throughput is 516.42 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000713.JPEG.jpg , Iteration 0 , takes 0.001946775 s, throughput is 513.67 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000594.JPEG.jpg , Iteration 0 , takes 0.0019336 s, throughput is 517.17 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000937.JPEG.jpg , Iteration 0 , takes 0.001893629 s, throughput is 528.09 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000745.JPEG.jpg , Iteration 0 , takes 0.001949905 s, throughput is 512.85 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000209.JPEG.jpg , Iteration 0 , takes 0.00188881 s, throughput is 529.43 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000351.JPEG.jpg , Iteration 0 , takes 0.001945823 s, throughput is 513.92 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000345.JPEG.jpg , Iteration 0 , takes 0.001913149 s, throughput is 522.70 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000116.JPEG.jpg , Iteration 0 , takes 0.001901626 s, throughput is 525.87 imgs/sec
